"番号","種類","見てほしいもの","くわしく","たしかめること","承認","メモ","ID"
"1","対義語・類義語","増加 ⇔ 減少","ぞうか ／ げんしょう","この2つは「反対の意味」の組み合わせとして正しいですか？","","","pair|増加|減少"
"2","熟語の構成","遠近（えんきん）","ア：反対や対になる意味の字を組み合わせたもの","この熟語の組み立ては、この分類で正しいですか？","","","kozo|遠近|ア"
"3","対義語・類義語","用意 ⇔ 準備","ようい ／ じゅんび","この2つは「にた意味」の組み合わせとして正しいですか？","","","pair|用意|準備"
"4","熟語の構成","衣服（いふく）","イ：同じような意味の字を組み合わせたもの","この熟語の組み立ては、この分類で正しいですか？","","","kozo|衣服|イ"
"5","対義語・類義語","出席 ⇔ 欠席","しゅっせき ／ けっせき","この2つは「反対の意味」の組み合わせとして正しいですか？","","","pair|出席|欠席"
"6","熟語の構成","悪人（あくにん）","ウ：上の字が下の字の意味を説明（修飾）しているもの","この熟語の組み立ては、この分類で正しいですか？","","","kozo|悪人|ウ"
"7","対義語・類義語","心配 ⇔ 不安","しんぱい ／ ふあん","この2つは「にた意味」の組み合わせとして正しいですか？","","","pair|心配|不安"
"8","熟語の構成","下山（げざん）","エ：下の字から上の字へ返って読むと意味がよくわかるもの","この熟語の組み立ては、この分類で正しいですか？","","","kozo|下山|エ"
"9","対義語・類義語","成功 ⇔ 失敗","せいこう ／ しっぱい","この2つは「反対の意味」の組み合わせとして正しいですか？","","","pair|成功|失敗"
"10","熟語の構成","往復（おうふく）","ア：反対や対になる意味の字を組み合わせたもの","この熟語の組み立ては、この分類で正しいですか？","","","kozo|往復|ア"
"11","対義語・類義語","進歩 ⇔ 向上","しんぽ ／ こうじょう","この2つは「にた意味」の組み合わせとして正しいですか？","","","pair|進歩|向上"
"12","熟語の構成","永久（えいきゅう）","イ：同じような意味の字を組み合わせたもの","この熟語の組み立ては、この分類で正しいですか？","","","kozo|永久|イ"
"13","対義語・類義語","平和 ⇔ 戦争","へいわ ／ せんそう","この2つは「反対の意味」の組み合わせとして正しいですか？","","","pair|平和|戦争"
"14","熟語の構成","雨天（うてん）","ウ：上の字が下の字の意味を説明（修飾）しているもの","この熟語の組み立ては、この分類で正しいですか？","","","kozo|雨天|ウ"
"15","対義語・類義語","永久 ⇔ 永遠","えいきゅう ／ えいえん","この2つは「にた意味」の組み合わせとして正しいですか？","","","pair|永久|永遠"
"16","熟語の構成","加熱（かねつ）","エ：下の字から上の字へ返って読むと意味がよくわかるもの","この熟語の組み立ては、この分類で正しいですか？","","","kozo|加熱|エ"
"17","対義語・類義語","原因 ⇔ 結果","げんいん ／ けっか","この2つは「反対の意味」の組み合わせとして正しいですか？","","","pair|原因|結果"
"18","熟語の構成","去来（きょらい）","ア：反対や対になる意味の字を組み合わせたもの","この熟語の組み立ては、この分類で正しいですか？","","","kozo|去来|ア"
"19","対義語・類義語","原因 ⇔ 理由","げんいん ／ りゆう","この2つは「にた意味」の組み合わせとして正しいですか？","","","pair|原因|理由"
"20","熟語の構成","家屋（かおく）","イ：同じような意味の字を組み合わせたもの","この熟語の組み立ては、この分類で正しいですか？","","","kozo|家屋|イ"
